Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"LAC 28:CLXI.1901","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny physical access to early learning center (conviction of sex offense)","1","(E)","Additional offense details:
La. R.S. 15:541","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Child care providers & youth programs|Education & schools","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"LAC 28:CXXXI.661","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for driver/traffic safety teaching endorsement","1","(A)(3)
(B)","See also:
LAC 28:CXXXI.601(A)","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Transportation & commercial motor vehicles|Education & schools|Teachers & instructors","Motor vehicle offenses","Varies","Indefinite"
"LAC 28:XXVII.703","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check for employment as full-time/substitute/activity school bus driver/bus attendant (self-disclosure)","1","(A)
(B)(6)","See also:
La. R.S. 15:587.1 
La. R.S. 17:15","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Transportation & commercial motor vehicles|Public employment|Education & schools","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 31:II.103","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Remove registrar of voters from office","1","(A)(1)
(D), (K), (L)-(N)","Relief:
La. R.S. 49:959","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Employment & volunteering","Public employment|Public office","Any felony","Discretionary","Indefinite"
"LAC 31:II.307","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to serve as authorized employee at driver's license facility","1","(B)(4)
(C)(1)(b), (D)","See also:
La. R.S. 18:1461","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Driving & noncommercial motor vehicles|Public employment","Public corruption offenses|Election-related offenses","Mandatory/Automatic","Indefinite"
"LAC 31:III.109","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny public contract for voting system drayage/storage (conviction of contractor/principal officer)","1","(A)(4)
(B)","","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Government procurement contracts & programs","Any felony|Public corruption offenses|Election-related offenses","Discretionary","Varies"
"LAC 33:XV.1609","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check for unescorted access to category 1 and 2 quantities of radioactive material (self-disclosure)","1","(C), (E)
(G)(2)","Relief:
LAC 33:XV.1615

See also:
LAC 33:XV.1611
LAC 33:XV.1613","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Mining, drilling, oil, fuel, energy & resource extraction|Nuclear energy & materials|Hazardous materials, pesticides, chemicals & waste","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 34:XIII.1305","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Reject solicitation for university procurement of goods/services","1","(B)","See also:
LAC 34:XIII.301","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Government procurement contracts & programs","Any felony|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude","Discretionary","Indefinite"
"LAC 34:XIII.2107","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Debar from consideration for award of university contracts (conviction of officer/director/principal/key employee)","1","(A), (B), (F)","Relief:
LAC 34:XIII.1503, 1507

Other triggering offenses:
Offenses related to obtaining a contract/performance of contract with the university","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Government procurement contracts & programs","Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude","Discretionary","Indefinite"
"LAC 37:XIII.13713","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for recognition as qualified independent certified public accountant","1","(E)(1)","Additional offense details:
18 U.S.C. 1961 to 196

Other triggering offenses:
Violation of the Racketeer Influenced and Corrupt Organizations Act [18 U.S.C. 1961 et seq.]
","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Accounting","Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Public corruption offenses","Mandatory/Automatic","Indefinite"
"LAC 37:XIII.3319","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to serve as illustration actuary (insurance)","1","(C)(3)(a)","Additional offense details:
La. R.S. 22:1 to 22:2453

Other triggering offenses:
Offenses related to the practice as an illustration actuary","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","Trusts, estates & guardianship|Insurance sales & services","Other","Mandatory/Automatic","Indefinite"
"LAC 37:XIII.7125","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Publish conviction information of participant in proxy solicitation in election contest (insurance)","1","(A)
(B)(4)","","","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation|Registration, publication & notification","Insurance sales & services","Any felony|Any misdemeanor","Mandatory/Automatic","Time-limited"
"LAC 42:I.2203","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check to act as electronic video bingo commercial lessor (conviction of owner/director/manager/employee) (self-disclosure)","1","(A)
(B)(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Business licensure & participation","Gaming, lottery & racing|Fundraising, charities & nonprofits","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 42:XI.2405","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for video draw poker license","1","(A)(1), (14)","Other triggering offenses:
Offenses related to gambling","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Any felony|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Time-limited"
"LAC 42:XV.511","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to be lottery retailer","1","(A)(3)","Other triggering offenses:
Offenses related to gambling/lottery","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Any felony|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Indefinite"
"LAC 43:I.4107","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for certification as land conservation organization (conviction of applicant/officer/director/owner)","1","(D)","Background check:
LAC 43:I.4109

Other triggering offenses:
Offenses related to fish/wildlife/environmental protection/minerals","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Conservation, environmental sciences & water","Any felony|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"LAC 46:LIII.2717","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for employment with pharmacy/institutional practitioner/researcher in position with access to controlled substances","1","(E)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Health care|Pharmacy & drugs|Laboratories, technicians, research & phlebotomy","Controlled substances offenses","Mandatory/Automatic","Indefinite"
"LAC 46:LXIII.1003","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check for permanent license to practice as psychologist (military applicant)","1","(A), (B), (E)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Psychiatry, psychology, counseling & mental health services|Military, veterans & national defense","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 46:LXX.3607","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Suspend authorization of river boat pilot/apprentice","2","All","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Transportation & commercial motor vehicles|Maritime & sea vessels","Any felony|Controlled substances offenses","Discretionary","Indefinite"
"LAC 46:LXX.6205","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check to serve as New Orleans/Baton Rouge steamship pilot","1","(A)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","Transportation & commercial motor vehicles|Maritime & sea vessels","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 46:LXX.9107","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to be Calcasieu River Waterway river port pilot apprentice","1","(A), (E)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","Transportation & commercial motor vehicles|Maritime & sea vessels","Controlled substances offenses","Mandatory/Automatic","Time-limited"
"LAC 46:LXX.9115","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Suspend/revoke commissioned Calcasieu River Waterway river port pilot","1","(J)
(K)(16)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Transportation & commercial motor vehicles|Maritime & sea vessels","Any felony|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Time-limited"
"LAC 46:LXXV.512","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Suspend speech pathologist/audiologist license","1","All","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Audiology, speech & hearing aids","Any felony|Any misdemeanor","Discretionary","Indefinite"
"LAC 46:LXXX.713","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for recognition as certified compulsive gambling counselor","1","(A)(6), (7)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Gaming, lottery & racing|Psychiatry, psychology, counseling & mental health services","Any felony","Mandatory/Automatic","Indefinite"
"LAC 46:LXXXV.801","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for certificate of approval as registered veterinary technician","1","(A)
(B)(5)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Domestic animals|Veterinarians","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"LAC 46:VIII.304","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check for behavior analyst line technician certification","1","All","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Psychiatry, psychology, counseling & mental health services|Health care specialists (unlisted)","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 46:XCI.305","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny license to engage in wholesale distribution of drugs/devices (conviction of applicant/designated responsible party)","1","(A)(1),(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Health care|Pharmacy & drugs","Any felony|Controlled substances offenses","Varies","Indefinite"
"LAC 46:XL.121","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for approval as continuing home inspector education provider instructor","1","(F)(1)(d)","Additional offense details:
La. R.S. 37:1487
La. R.S. 37:1471 to 37:1490

Other triggering offenses:
Offenses related to the licensure of home inspection
Offenses related to the practice as a home inspector
","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Education & schools|Teachers & instructors|Construction, improvement & repair, engineering, plumbing, HVAC, surveying, design & architecture","Other","Mandatory/Automatic","Time-limited"
"LAC 46:XLI.1707","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/suspend/revoke horseracing association license (conviction of applicant/partner/agent/employee/associate)","1","(A)","Background check:
La. R.S. 15:587

Other triggering offenses:
Offenses related to horse racing","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Gaming, lottery & racing","Any felony|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"LAC 46:XLIV.1409","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check for massage therapist/massage therapy establishment license","2","(A)(1)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation|Occupational & professional licensure & certification","Health care|Massage, acupuncture & alternative medicine","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 46:XLV.1305","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny license to practice as podiatrist","1","(A)(2)","Additional offense details:
LAC 46:XLV.1303(A)

See also:
La. R.S. 37:624(A)(1)","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Podiatry","Any felony|Any misdemeanor","Discretionary","Indefinite"
"LAC 46:XLV.1907","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny license as occupational therapist/occupational therapy assistant","1","(A)(1)","Additional offense details:
LAC 46:XLV.1903(A)

See also:
La. R.S. 37:3011(A)(3)","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Physical & occupational therapy","Any felony|Any misdemeanor","Discretionary","Indefinite"
"LAC 46:XLV.2507","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny license as respiratory therapist","1","(A)(2)","Additional offense details:
LAC 46:XLV.2503(A)

See also:
La. R.S. 37:3358(A)(3), (4)","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Respiratory care","Any felony|Any misdemeanor","Discretionary","Indefinite"
"LAC 46:XLV.2919","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/suspend/revoke certification as private radiologic technologist","1","(A)(1)
(B), (C)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Radiology & radiography","Any felony|Any misdemeanor","Discretionary","Indefinite"
"LAC 46:XLV.4931","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/suspend/revoke occupational therapist/occupational therapy assistant license","1","All","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Physical & occupational therapy","Any felony|Any misdemeanor","Discretionary","Indefinite"
"LAC 46:XLV.5113","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Suspend/revoke certification as acupuncturist/acupuncturist assistant/acupuncture detoxification specialist","1","(A)(1), (2)
(B), (C)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Massage, acupuncture & alternative medicine","Any felony|Any misdemeanor","Discretionary","Indefinite"
"LAC 46:XLV.5517","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/suspend/revoke license/examination permit/temporary work permit of respiratory therapist","1","(A)","Additional offense details:
LAC 46:XLV.5519(A)
La. R.S. 37:3358(A)(3), (4)","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Respiratory care","Any felony|Any misdemeanor","Discretionary","Indefinite"
"LAC 46:XLV.5723","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/suspend/revoke certification as athletic trainer","1","(B)","Additional offense details:
LAC 46:XLV.5717

Relief:
LAC 46:XLV.5719","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Teachers & instructors|Entertainment, athletics, news & broadcasting","Any felony|Any misdemeanor","Discretionary","Indefinite"
"LAC 46:XLVII.1705","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for/revoke temporary permit to practice as practical nurse","1","(A), (C)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Nurses","Any felony|Any misdemeanor","Mandatory/Automatic","Indefinite"
"LAC 46:XLVII.937","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for admission to nursing program","1","(A)(8)","","","2023 legislative session and all 2023 regulatory rulemaking","","Education","Health care|Education & schools|Nurses","Any felony","Mandatory/Automatic","Time-limited"
"LAC 46:XXI.505","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/suspend/revoke certificate as certified shorthand reporter","1","(A)(1), (2)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Court personnel, general legal services & bail bonds","Any felony|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Crime of moral turpitude","Discretionary","Indefinite"
"LAC 46:XXXIII.1709","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny dentist license","1","(A)(2)","Background check:
LAC 46:XXXIII.1809","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Dentistry","Any felony|Any misdemeanor","Discretionary","Indefinite"
"LAC 46:XXXIII.1813","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Limit public access to criminal history record information obtained by Board of Dentistry (relief)","0","(A)","","","2023 legislative session and all 2023 regulatory rulemaking","","General Relief Provision","Health care|Expungement, sealing & criminal record access restrictions|Dentistry","N/A (background check, general relief)","N/A - General Relief","N/A (background check, general relief)"
"LAC 46:XXXVIII.503","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/suspend/revoke certification to practice as emergency medical services professional","1","(A)
(D)(2)","Additional offense details:
La. R.S. 40:1232.6","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Emergency services, management & fire","Any felony|Any misdemeanor","Discretionary","Indefinite"
"LAC 48:I.12907","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to open an opioid treatment program (conviction of applicant/owner)","1","(A), (D)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Health care|Pharmacy & drugs|Psychiatry, psychology, counseling & mental health services","Any felony","Mandatory/Automatic","Indefinite"
"LAC 48:I.5027","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check to provide direct care/services to clients in home and community-based services programs as unlicensed personnel/volunteer","1","(A)
(B)(9)","See also:
La. R.S. 40:1300.52","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Business licensure & participation","Health care|Adult care, nursing homes & residential care facilities","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 48:I.5309","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to serve as owner/clinical supervisor/managing employee of crisis receiving center","2","(L)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Business licensure & participation","Health care|Psychiatry, psychology, counseling & mental health services","Any felony","Mandatory/Automatic","Indefinite"
"LAC 48:I.5329","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/revoke license to operate crisis receiving center (convictions of owner/officer/member/key employees)","1","(A)
(C)(1), (13)","Additional offense details:
La. R.S.§ 40:2180.16(A)

Background check:
LAC 48:I.5311

Other triggering offenses:
Offenses related to operating a crisis receiving center without license
","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Health care|Psychiatry, psychology, counseling & mental health services","Any felony|Other","Discretionary","Indefinite"
"LAC 48:I.7255","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check for employment with forensic supervised transitional residential and aftercare facility","1","(D)(2)","","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Health care|Adult care, nursing homes & residential care facilities|Psychiatry, psychology, counseling & mental health services","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 48:I.7505","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Deny/revoke rural health clinic license (conviction of applicant/ members/officers/managers)","1","(A)
(B)(2)","See also:
LAC 48:I.7501

Other triggering offenses:
Offenses related to programs under Medicare/Medicaid
","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Health care","Crimes of violence, including 'person offenses'|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"LAC 48:I.7803","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for exemption to own a pain management clinic (non-certified physicians)","1","(A)
(B)(2), (3)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Health care|Physicians","Any felony|Controlled substances offenses","Mandatory/Automatic","Indefinite"
"LAC 48:IX.907","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for medication attendant certification","1","(A)(6)","Background check:
LAC 48:I.10082","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Occupational & professional licensure & certification","Health care|Pharmacy & drugs|Health care specialists (unlisted)","Any felony","Mandatory/Automatic","Indefinite"
"LAC 48:V.4503","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for authorization as a Women, Infants and Children (WIC) program vendor (conviction of owner/manager)","1","(B)(13),(14)","Other triggering offenses:
Offenses related to federal/state/local tax","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation","Public assistance & food stamps|Public service programs (government-sponsored)","Any felony|Other","Mandatory/Automatic","Time-limited"
"LAC 50:I.3901","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to have controlling/ownership interest in coordinated care network","1","(H)(1)(a)","Additional offense details:
42 USCS§ 1320a-7(a)
42 USCS§ 1320a-7(b)(1), (3)

See also:
Medicaid Enrollment Form for Entities/Businesses PE-50","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation|Business licensure & participation","Health care","Controlled substances offenses|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Discretionary","Indefinite"
"LAC 50:I.4167","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to participate in Medical Assistance Program (conviction of owner/member/manager/agent)","1","(A)(1)","See also:
LAC 50:I.4103(A)

Other triggering offenses:
Offenses related to participation in Medicaid/Medicare","","2023 legislative session and all 2023 regulatory rulemaking","","Government contracting & program participation|Business licensure & participation","Health care|Medicaid, Medicare & other public health benefits","Other","Mandatory/Automatic","Indefinite"
"LAC 50:XV.501","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check to serve as certified assistant behavior analyst providing Applied Behavior Analysis based therapy (self-disclosure)","1","(C)(5)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","Health care|Health care specialists (unlisted)","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 50:XV.501","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check to serve as registered line technician providing Applied Behavior Analysis based therapy services (self-disclosure)","1","(D)(4)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","Health care|Health care specialists (unlisted)","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 50:XV.501","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Background check to be an Applied Behavior Analysis based therapy services provider licensed behavior analyst (self-disclosure)","1","(B)(5)(a)","","See La. Rev. Stat. §§ 37:2950 for general limitations on the use of convictions as the basis for denial of occupational or professional licensure.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Occupational & professional licensure & certification","Health care|Health care specialists (unlisted)","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"LAC 55:I.1917","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for employment as tow truck operator (transportation)","1","(A)(6)","Additional offense details:
La. R.S. 15:542","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Transportation & commercial motor vehicles","Crimes of violence, including 'person offenses'|Crimes involving fraud, dishonesty, misrepresentation or money-laundering|Sex offenses","Mandatory/Automatic","Indefinite"
"LAC 55:I.1947","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for inclusion on law enforcement rotation list of towing/storage companies (conviction of owner/operator/employee)","1","(A)
(C)(5)
(I)(4)(f)","","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Transportation & commercial motor vehicles","Any felony|Any misdemeanor|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Varies","Indefinite"
"LAC 67:III.2007","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible to receive Supplemental Nutritional Assistance Program (SNAP) benefits","1","All","Additional offense details:
La. R.S. 14:68.2
La. R.S. 14:68.2.1

Other triggering offenses:
Offenses related to trafficking SNAP benefits of $500/more
Offenses related to SNAP benefits
","","2023 legislative session and all 2023 regulatory rulemaking","","Government benefits","Public assistance & food stamps","Controlled substances offenses|Other|Crimes involving fraud, dishonesty, misrepresentation or money-laundering","Mandatory/Automatic","Varies"
"LAC 70:XXI.103","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Notify employer of drug-related conviction (Department of Transportation and Development employees) (DUI)","1","(A)(5)","See also:
LAC 70:XXI.113(B)(3)(a)
LAC 70:XXI.113(B)(4)","","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Registration, publication & notification","Public employment","Controlled substances offenses|Motor vehicle offenses","Mandatory/Automatic","Indefinite"
"LAC 76:V.127","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for Nuisance Wildlife Control Operator permit","1","(A)
(B)(1)
(C)(3)","See also:
La. R.S. 56:32
La. R.S. 56:33 through La. R.S. 56:37.1

Other triggering offenses:
Class II/higher offenses related to wildlife","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Wildlife, fish & game","Any felony|Other|Recreational license offenses","Mandatory/Automatic","Varies"
"LAC 76:V.131","https://www.doa.la.gov/Pages/osr/lac/books.aspx","Ineligible for wildlife rehabilitation program permit","1","(A)(1)
(B)
(E)(2)","See also:
La. R.S. 56:32
La. R.S. 56:33 through La. R.S. 56:37.1

Other triggering offenses:
Class II/higher offenses related to wildlife","","2023 legislative session and all 2023 regulatory rulemaking","","Business licensure & participation","Wildlife, fish & game","Any felony|Other|Recreational license offenses","Mandatory/Automatic","Varies"
