Citation,Citation URL,Title,Number of Consequences,Relevant Subsections,Related Statutes,Notes,Current Through,Jurisdiction,Consequences,Keywords,Offense Type,Discretion,Duration
"La. R.S. 15:542.1.3","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-542-1-3.html","Register as a sex offender (out-of-state convictions)","1","All","Additional offense details:
La. R.S. 15:542(A)

Relief:
La. R.S. 15:544(E)
La. R.S. 15:544(F)(2)

See also:
La. R.S. 15:542.1(A)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 15:542.1.5","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-542-1-5.html","Publish sex offense conviction in public registry","1","All","Additional offense details:
La. R.S. 15:541(24), (25)
La. R.S. 15:542(A)

Relief:
La. R.S. 15:544(E)
La. R.S. 15:544(F)(2)
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 15:546","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-546.html","Publish sex offense conviction to public when relevant/necessary for public protection","1","All","See also:
La. R.S.§ 15:547(C)","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Crimes of violence, including 'person offenses'|Sex offenses","Discretionary","Indefinite"
"La. R.S. 15:549","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-549.html","Deny use of electronic mail address/instant message service by registered sex offender","1","(H), (I)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Political & civic participation","Public utilities & mail","Crimes of violence, including 'person offenses'|Sex offenses","Discretionary","Indefinite"
"La. R.S. 15:560.3","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-560-3.html","Ineligible to possess/control a firearm (conviction as sexually violent predator)","1","(A)(9), (14)","Additional offense details:
La. R.S. 15:541(24)
La. R.S. 15:560.1(1), (5)
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Recreational license & participation, including firearms","Firearms, weapons & explosives","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 15:560.3","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-560-3.html","Impose lifetime supervision/electronic monitoring/association restrictions on sexually violent predators","1","(A)(1)-(3), (5), (9), (11), (13), (14)","Additional offense details:
La. R.S. 15:541(24)
La. R.S. 15:560.1(1), (5)
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 15:560.4","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-560-4.html","Impose electronic monitoring of sexually violent predators/child sexual predators","1","All","Additional offense details:
La. R.S. 15:541(24)
La. R.S. 15:560.1(1), (5)
","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Registration, publication & notification","Sex offender registration, residency & proximity","Crimes of violence, including 'person offenses'|Sex offenses","Mandatory/Automatic","Indefinite"
"La. R.S. 15:587","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-587.html","Background check to reside in emergency placement home for child removed from their home","1","(A)(2)(c), (d)","","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Family & domestic rights|Housing & residency","Adoption & foster care","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 15:587.1.1","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-587-1-1.html","Background check for employment with independent contractor performing work in a child care facility","1","All","See also:
La. R.S.15:587.1","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering|Business licensure & participation","Child care providers & youth programs","N/A (background check, general relief)","Background Check","N/A (background check, general relief)"
"La. R.S. 15:596","https://codes.findlaw.com/la/revised-statutes/la-rev-stat-tit-15-sect-596.html","Remove from employment position as head of agency","1","All","Additional offense details:
La. Rev. Stat. Ann. Title 15, Chapter 6

Other triggering offenses:
Offenses related to criminal identification and information","Links may point to unofficial sources where direct linking to official sources is unavailable.","2023 legislative session and all 2023 regulatory rulemaking","","Employment & volunteering","Public employment","Other|Public corruption offenses","Discretionary","Indefinite"
